ticker,issue,price_date,raw_close_usd,reported_ttm_eps_usd,eps_adjustment_usd,starting_eps_usd,reported_trailing_pe,starting_pe,eps_period_end,eps_status,eps_source_urls,company_evidence_url,case,years,eps_cagr,exit_pe,annual_price_return_hurdle,terminal_eps_usd,terminal_price_usd,price_return,annualized_price_return,break_even_eps_cagr,eps_cagr_for_hurdle,maximum_entry_for_hurdle_usd,required_entry_discount,assumption_status,probability_weight,dividends_included,eps_adjustment_reason,assumption_rationale
MSFT,electricity_datacenters,2026-09-04,499.7000122070313,17.95,-0.67,17.279999999999998,27.838440791478067,28.9178247804995,2026-06-30,observed,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,https://www.microsoft.com/en-us/investor/earnings/fy-2026-q4/press-release-webcast,lower,1,0.08,22,0.1,18.662399999999998,410.5728,-0.17836143692168838,-0.17836143692168838,0.31444658093179534,0.4458912390249752,373.24799999999993,0.2530558517469895,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,"Remove FY2026 EPS contribution from OpenAI investment gains; this is one disclosed adjustment, not a comprehensive normalized earnings estimate.","8/14/20% EPS growth spans slower monetization, continuing demand conversion and stronger utilization. 22/26/30x tests valuation discipline around the observed normalized trailing multiple; no historical-percentile claim is made."
MSFT,electricity_datacenters,2026-09-04,499.7000122070313,17.95,-0.67,17.279999999999998,27.838440791478067,28.9178247804995,2026-06-30,observed,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,https://www.microsoft.com/en-us/investor/earnings/fy-2026-q4/press-release-webcast,lower,2,0.08,22,0.1,20.155392,443.41862399999997,-0.11263035187542347,-0.05799700206178937,0.14649316654387223,0.26114248319825983,366.4616727272726,0.26663665444249895,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,"Remove FY2026 EPS contribution from OpenAI investment gains; this is one disclosed adjustment, not a comprehensive normalized earnings estimate.","8/14/20% EPS growth spans slower monetization, continuing demand conversion and stronger utilization. 22/26/30x tests valuation discipline around the observed normalized trailing multiple; no historical-percentile claim is made."
MSFT,electricity_datacenters,2026-09-04,499.7000122070313,17.95,-0.67,17.279999999999998,27.838440791478067,28.9178247804995,2026-06-30,observed,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,https://www.microsoft.com/en-us/investor/earnings/fy-2026-q4/press-release-webcast,central,1,0.14,26,0.1,19.6992,512.1792,0.024973358991631223,0.024973358991631223,0.11222403001921166,0.22344643302113298,465.61745454545456,0.06820603728033525,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,"Remove FY2026 EPS contribution from OpenAI investment gains; this is one disclosed adjustment, not a comprehensive normalized earnings estimate.","8/14/20% EPS growth spans slower monetization, continuing demand conversion and stronger utilization. 22/26/30x tests valuation discipline around the observed normalized trailing multiple; no historical-percentile claim is made."
MSFT,electricity_datacenters,2026-09-04,499.7000122070313,17.95,-0.67,17.279999999999998,27.838440791478067,28.9178247804995,2026-06-30,observed,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,https://www.microsoft.com/en-us/investor/earnings/fy-2026-q4/press-release-webcast,central,2,0.14,26,0.1,22.457088000000002,583.8842880000001,0.16846962925045972,0.08095773703251674,0.054620325055046326,0.160082357560551,482.54899834710744,0.034322620454165675,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,"Remove FY2026 EPS contribution from OpenAI investment gains; this is one disclosed adjustment, not a comprehensive normalized earnings estimate.","8/14/20% EPS growth spans slower monetization, continuing demand conversion and stronger utilization. 22/26/30x tests valuation discipline around the observed normalized trailing multiple; no historical-percentile claim is made."
MSFT,electricity_datacenters,2026-09-04,499.7000122070313,17.95,-0.67,17.279999999999998,27.838440791478067,28.9178247804995,2026-06-30,observed,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,https://www.microsoft.com/en-us/investor/earnings/fy-2026-q4/press-release-webcast,upper,1,0.2,30,0.1,20.735999999999997,622.0799999999999,0.2449069137550175,0.2449069137550175,-0.03607250731668343,0.06032024195164842,565.5272727272726,-0.1317335579591068,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,"Remove FY2026 EPS contribution from OpenAI investment gains; this is one disclosed adjustment, not a comprehensive normalized earnings estimate.","8/14/20% EPS growth spans slower monetization, continuing demand conversion and stronger utilization. 22/26/30x tests valuation discipline around the observed normalized trailing multiple; no historical-percentile claim is made."
MSFT,electricity_datacenters,2026-09-04,499.7000122070313,17.95,-0.67,17.279999999999998,27.838440791478067,28.9178247804995,2026-06-30,observed,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,https://www.microsoft.com/en-us/investor/earnings/fy-2026-q4/press-release-webcast,upper,2,0.2,30,0.1,24.883199999999995,746.4959999999999,0.49388829650602095,0.22224723215314368,-0.01820190839291369,0.07997790076779498,616.9388429752064,-0.23461842686447976,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,"Remove FY2026 EPS contribution from OpenAI investment gains; this is one disclosed adjustment, not a comprehensive normalized earnings estimate.","8/14/20% EPS growth spans slower monetization, continuing demand conversion and stronger utilization. 22/26/30x tests valuation discipline around the observed normalized trailing multiple; no historical-percentile claim is made."
VRT,electricity_datacenters,2026-09-04,280.5299987792969,4.42,0.0,4.42,63.468325515678025,63.468325515678025,2026-06-30,derived_matching_periods,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050609/vrt-20260630.htm|https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050323/q22026exhibit991vrt07292026.htm,lower,1,0.08,30,0.1,4.7736,143.208,-0.4895091411857634,-0.4895091411857634,1.115610850522601,1.3271719355748615,130.1890909090909,0.5359174010779668,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,Reconstructed GAAP TTM EPS; not management's adjusted EPS.,"8/20/30% EPS growth tests delayed deployment, sustained expansion and strong execution. 30/40/50x imposes differing degrees of compression from the observed trailing multiple; these are explicit stress choices."
VRT,electricity_datacenters,2026-09-04,280.5299987792969,4.42,0.0,4.42,63.468325515678025,63.468325515678025,2026-06-30,derived_matching_periods,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050609/vrt-20260630.htm|https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050323/q22026exhibit991vrt07292026.htm,lower,2,0.08,30,0.1,5.155488,154.66464,-0.4486698724806245,-0.2574839210364698,0.45451395679883433,0.5999653524787179,127.82201652892559,0.544355266512913,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,Reconstructed GAAP TTM EPS; not management's adjusted EPS.,"8/20/30% EPS growth tests delayed deployment, sustained expansion and strong execution. 30/40/50x imposes differing degrees of compression from the observed trailing multiple; these are explicit stress choices."
VRT,electricity_datacenters,2026-09-04,280.5299987792969,4.42,0.0,4.42,63.468325515678025,63.468325515678025,2026-06-30,derived_matching_periods,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050609/vrt-20260630.htm|https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050323/q22026exhibit991vrt07292026.htm,central,1,0.2,40,0.1,5.303999999999999,212.15999999999997,-0.2437172462011311,-0.2437172462011311,0.5867081378919505,0.7453789516811458,192.87272727272722,0.3124702238192102,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,Reconstructed GAAP TTM EPS; not management's adjusted EPS.,"8/20/30% EPS growth tests delayed deployment, sustained expansion and strong execution. 30/40/50x imposes differing degrees of compression from the observed trailing multiple; these are explicit stress choices."
VRT,electricity_datacenters,2026-09-04,280.5299987792969,4.42,0.0,4.42,63.468325515678025,63.468325515678025,2026-06-30,derived_matching_periods,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050609/vrt-20260630.htm|https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,https://www.sec.gov/Archives/edgar/data/1674101/000162828026050323/q22026exhibit991vrt07292026.htm,central,2,0.2,40,0.1,6.3648,254.59199999999998,-0.09246069544135727,-0.04735142651728974,0.25964603674681186,0.3856106404214932,210.4066115702479,0.2499675168936839,"Analyst-designed sensitivity cases, not management guidance, consensus estimates, historical calibration or probability-weighted forecasts.",,False,Reconstructed GAAP TTM EPS; not management's adjusted EPS.,"8/20/30% EPS growth tests delayed deployment, sustained expansion and strong execution. 30/40/50x imposes differing degrees of compression from the observed trailing multiple; these are explicit stress choices."
