scenario_id,ticker,date,executions,contracts_traded,block_volume_share,unknown_block_volume_share,top_five_print_volume_share,largest_print_contracts,median_print_contracts,nonblock_directional_contracts,nonblock_yes_taker_share,nonblock_taker_imbalance,nonblock_unknown_direction_contracts,candle_volume,candle_volume_hours,full_day_comparable,volume_difference
house_dem,CONTROLH-2026-D,2026-08-11,83,8637.84,0.0,0.0,0.590915089883582,1164.23,10.0,8637.84,0.8145311790910691,0.6290623581821381,0.0,8637.84,24,True,0.0
house_dem,CONTROLH-2026-D,2026-08-12,167,291625.55000000005,0.0,0.0,0.8567493486081722,100000.0,12.38,291625.55000000005,0.6607254748426534,0.3214509496853068,0.0,291625.55,24,True,5.820766091346741e-11
house_dem,CONTROLH-2026-D,2026-08-13,111,12234.590000000002,0.0,0.0,0.7762450560255797,3684.26,11.51,12234.590000000002,0.8722940449986473,0.7445880899972945,0.0,12234.59,23,False,
house_dem,CONTROLH-2026-D,2026-08-14,61,9048.130000000001,0.0,0.0,0.7783575169675944,2303.01,12.04,9048.130000000001,0.512583263060986,0.025166526121972066,0.0,9048.13,24,True,1.8189894035458565e-12
house_dem,CONTROLH-2026-D,2026-08-15,45,3842.66,0.0,0.0,0.8177694617790802,1151.5,11.51,3842.66,0.7189811224516351,0.4379622449032703,0.0,3842.66,22,False,
house_dem,CONTROLH-2026-D,2026-08-16,83,7719.55,0.0,0.0,0.6569217117578098,2303.01,13.94,7719.55,0.8550096832069225,0.7100193664138451,0.0,7719.55,23,False,
house_dem,CONTROLH-2026-D,2026-08-17,78,7388.2,0.0,0.0,0.7506158468909885,3454.51,10.0,7388.2,0.7137056387212042,0.4274112774424084,0.0,7388.2,22,False,
house_dem,CONTROLH-2026-D,2026-08-18,74,20483.119999999995,0.0,0.0,0.9091266369576512,11589.46,11.51,20483.119999999995,0.32711666972609643,-0.34576666054780714,0.0,20483.120000000003,24,True,-7.275957614183426e-12
house_dem,CONTROLH-2026-D,2026-08-19,176,144352.83000000002,0.0,0.0,0.6321265748652104,50000.0,25.71,144352.83000000002,0.4871501306901984,-0.025699738619603202,0.0,144352.83000000002,24,True,0.0
house_dem,CONTROLH-2026-D,2026-08-20,105,47336.77,0.0,0.0,0.7126014301356007,20000.0,11.64,47336.77,0.8353459688947937,0.6706919377895875,0.0,47336.77,23,False,
