issue_id,supported_matched_cohorts,cohort_count,latest14d_events,latest14d_events_per_day,latest14d_raw_mean_probability,prior28d_events,prior28d_events_per_day,prior28d_raw_mean_probability,raw_change_pp,matched_change_pp,matched_status,matching,selected_markets,selected_events,latest14d_newly_listed_events,latest14d_newly_listed_events_per_day,prior28d_newly_listed_events,prior28d_newly_listed_events_per_day,inference
affordability_inflation,0,21,8,0.5714285714285714,0.4075,30,1.0714285714285714,0.48941666666666667,-8.19166666666667,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,889,292,27,1.9285714285714286,66,2.357142857142857,No voter_salience_positioning_causal_or_equity_inference
energy_iran,1,49,9,0.6428571428571429,0.45935185185185184,35,1.25,0.4425,1.685185185185184,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,1438,343,36,2.5714285714285716,75,2.6785714285714284,No voter_salience_positioning_causal_or_equity_inference
electricity_datacenters,0,9,3,0.21428571428571427,0.33333333333333337,7,0.25,0.7271428571428571,-39.38095238095237,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,119,58,2,0.14285714285714285,20,0.7142857142857143,No voter_salience_positioning_causal_or_equity_inference
ai_jobs_regulation,0,82,16,1.1428571428571428,0.519375,57,2.0357142857142856,0.44068713450292396,7.8687865497076075,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,351,297,34,2.4285714285714284,75,2.6785714285714284,No voter_salience_positioning_causal_or_equity_inference
healthcare,0,9,2,0.14285714285714285,0.47124999999999995,11,0.39285714285714285,0.48045454545454547,,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,95,83,12,0.8571428571428571,20,0.7142857142857143,No voter_salience_positioning_causal_or_equity_inference
housing,0,2,1,0.07142857142857142,0.225,1,0.03571428571428571,0.935,,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,173,35,3,0.21428571428571427,7,0.25,No voter_salience_positioning_causal_or_equity_inference
immigration,0,10,4,0.2857142857142857,0.59125,9,0.32142857142857145,0.5166666666666666,7.458333333333345,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,175,128,10,0.7142857142857143,29,1.0357142857142858,No voter_salience_positioning_causal_or_equity_inference
trade_tariffs,0,46,13,0.9285714285714286,0.45576923076923076,41,1.4642857142857142,0.4953658536585366,-3.9596622889305824,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,342,213,28,2.0,46,1.6428571428571428,No voter_salience_positioning_causal_or_equity_inference
taxes_fiscal,0,9,2,0.14285714285714285,0.8425,10,0.35714285714285715,0.3755,,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,291,109,8,0.5714285714285714,26,0.9285714285714286,No voter_salience_positioning_causal_or_equity_inference
jobs_growth,0,7,0,0.0,,5,0.17857142857142858,0.243,,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,695,79,7,0.5,14,0.5,No voter_salience_positioning_causal_or_equity_inference
fed_rates,0,0,0,0.0,,0,0.0,,,,insufficient_comparable_cohorts,same_series+subject+literal_normalized_target_equal_cohort_weight,411,62,0,0.0,6,0.21428571428571427,No voter_salience_positioning_causal_or_equity_inference
